id,parent,permalink,image_dir,image,title,brand,model,marca,modello,anno,prezzo,forma,bilanciamento,peso,livello,materiale,gomma,superficie,index,content
adidas-adipower-woman-lite,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-woman-lite/,/images/wiki/racchette/,adidas-adipower-woman-lite.jpg,Adidas Adipower Woman Lite,Adidas,Adipower Woman Lite,adidas,adipower woman lite,2021,165,rotonda,basso,340-355,intermedio,fibra di vetro,EVA soft performance,liscia,9,"La Adipower Woman Lite è la versione femminile di queste racchette, per giocatrici di livello intermedio o avanzato alla ricerca di controllo. Presenta un formato rotondo e un bilanciamento basso, oltre a una struttura 100% in fibra di vetro. Inoltre, troviamo anche qui la gomma EVA Soft Performance con un tocco morbido che garantisce un colpo confortevole con più rimbalzo. Una caratteristica esclusiva di questa versione femminile è il suo peso ridotto."
adidas-rx10,/wiki/racchette/adidas/,/wiki/racchette/adidas/rx10/,/images/wiki/racchette/,adidas-rx10.jpg,Adidas Rx10,Adidas,Rx10,adidas,rx10,2021,90,rotonda,medio,345-360,principiante/intermedio,fibra di veto,EVA soft performance,liscia,8,"L’Adidas RX10 è la racchetta da padel che dovresti scegliere se sei approdato da poco ad un livello intermedio. È il modello più maneggevole della serie RX, con un formato rotondo e un bilanciamento medio. Presenta inoltre una costruzione in fibra di vetro e un nucleo in gomma EVA Soft Performance."
adidas-rx20-light,/wiki/racchette/adidas/,/wiki/racchette/adidas/rx20-light/,/images/wiki/racchette/,adidas-rx20-light.jpg,Adidas Rx20 Light,Adidas,Rx20 Light,adidas,rx20 light,2021,110,rotonda,medio,345-360,principiante/intermedio,fibra di vetro,EVA soft performance,liscia,7,"La nuova Adidas RX20 Light è identica alla RX30 per quanto riguarda i materiali con cui sono state realizzate, condividono lo stesso formato e hanno anche le stesse tecnologie. Allora qual è la differenza? Questa racchetta ha una struttura più leggera per ottenere un peso ridotto."
adidas-rx30,/wiki/racchette/adidas/,/wiki/racchette/adidas/rx30/,/images/wiki/racchette/,adidas-rx30.jpg,Adidas Rx30,Adidas,Rx30,adidas,rx30,2021,125,rotonda,medio,345-360,intermedio,fibra di vetro,EVA soft performance,liscia,6,"L’Adidas RX30 è la racchetta della collezione più consigliata per i giocatori di livello intermedio. Presenta un formato rotondo ed un bilanciamento medio per concentrarsi sul controllo. Presenta una struttura in fibra di vetro, sia per il telaio che per i piatti. Questo rende la racchetta un po ‘più leggera e maneggevole, senza perdere resistenza. La caratteristica migliore è che dispone tecnologie strutturali di fascia alta come il Dual Exoskeleton e lo Structural Reinforcement."
adidas-drive-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/drive-3.0/,/images/wiki/racchette/,adidas-drive-3.0.jpg,Adidas Drive 3.0,Adidas,Drive 3.0,adidas,drive 3.0,2021,65,rotonda,medio,345-361,principiante ,fibra di vetro,EVA soft,liscia ,5,"La nuova Adidas Drive 3.0 è una racchetta per principianti, ideale per le prime sessioni di allenamento. È dotata di una struttura in fibra di vetro, che copre il telaio e i piatti. Inoltre, il suo formato rotondo e il bilanciamento medio gli conferiscono un punto dolce più ampio e una maggiore sensazione di mobilità. Il suo nucleo è morbido in modo che il colpo sia comodo ed elastico."
adidas-match-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/match-3.0/,/images/wiki/racchette/,adidas-match-3.0.jpg,Adidas Match 3.0,Adidas,Match 3.0,adidas,match 3.0,2021,60,rotonda,medio,345-360,principiante,fibra di vetro,EVA soft,liscia,4,"Questa racchetta è ideale per le tue prime partite di padel. A differenza della Drive, questa racchetta ha un formato All Round, che si adatta a diversi stili di gioco. Presenta una struttura 100% in fibra di vetro e un nucleo in gomma EVA Soft Performance."
adidas-match-3.0-light,/wiki/racchette/adidas/,/wiki/racchette/adidas/match-3.0-light/,/images/wiki/racchette/,adidas-match-3.0-light.jpg,Adidas Match 3.0 Light,Adidas,Match 3.0 Light,adidas,match 3.0 light,2021,60,rotonda,medio,340-350,principiante,fibra di vetro,EVA soft,liscia ,3,"Questa racchetta è esattamente la stessa della Match 3.0, ma con una sola differenza. Ha un peso ridotto, una struttura più leggera che la rende più confortevole e maneggevole. Condivide la stessa fabbricazione in fibra di vetro e dispone di un nucleo EVA Soft Performance per un tocco morbido."
adidas-adipower-junior,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-junior/,/images/wiki/racchette/,adidas-adipower-junior.jpg,Adidas Adipower Junior,Adidas,Adipower Junior,adidas,adipower junior,2021,65,rotonda,medio,,junior,fibra di vetro,EVA soft performance,liscia,2,"Al contrario, la Adipower Junior 3.0 è una racchetta per ragazzi e ragazze che stanno appena iniziando a praticare questo sport. È perfetta per i primi allenamenti. È dotata di un formato rotondo, bilanciamento medio, costruzione in fibra di vetro e nucleo EVA Soft Performance per enfatizzare il controllo."
adidas-metalbone-junior,/wiki/racchette/adidas/,/wiki/racchette/adidas/metalbone-junior/,/images/wiki/racchette/,adidas-metalbone-junior.jpg,Adidas Metalbone Junior,Adidas,Metalbone Junior,adidas,metalbone junior,2021,100,diamante,medio,,junior,fibra di vetro,EVA soft performance,liscia ,1,"La Metalbone Youth è una versione per giovani giocatori, ispirata alla racchetta di Ale Galán. Questo modello è l’ideale per i giovani che hanno già esperienza in campo. Si tratta di una racchetta focalizzata sull’attacco, con un formato a diamante, una composizione in fibra di vetro e una gomma EVA Soft Performance all’interno. Dispone della nuova tecnologia Octagonal Structure del 2021."
babolat-air-viper-2021,/wiki/racchette/babolat/,/wiki/racchette/babolat/air-viper-2021/,/images/wiki/racchette/,babolat-air-viper-2021.jpg,Babolat Air Viper 2021,Babolat,Air Viper 2021,babolat,air viper 2021,2021,280,diamante,alto,355-365,avanzato,carbonio 12k,EVA-X,ruvida,,"Babolat Air Viper 2021, racchetta dalla grande esplosività, ha una forma a diamante, un bilanciamento alto e un peso moderato e un piatto ruvido, è una racchetta consigliata per i giocatori più tecnici e d’attacco, che hanno un livello di gioco avanzato. Questa racchetta da padel è composta da un telaio 100% carbonio rendendola rigida e potente nei colpi. all'interno, incorpora la gomma X- EVA, materiale che offre grande esplosività nei colpi potenti e comfort nei colpi meno potenti. Inoltre la Babolat Air Viper 2021 incorpora le tecnologie più all'avanguardia sul mercato, come il sistema Vibrasorb e la tecnologia 3D Spin e il sistema di pattern fori. Per quanto riguarda il suo design la racchetta ha un'estetica accattivante e diversa dai modelli precedenti, ha una forma particolare, con il blu navy come protagonista e i dettagli in bianco, rosso e blu. "
babolat-counter-viper-2021,/wiki/racchette/babolat/,/wiki/racchette/babolat/counter-viper-2021/,/images/wiki/racchette/,babolat-counter-viper-2021.jpg,Babolat Counter Viper 2021,Babolat,Counter Viper 2021,babolat,counter viper 2021,2021,280,rotonda,medio,355-365,avanzato,carbonio 12k,EVA-X,ruvida,,"Babolat Counter Viper 2021. Una racchetta rotonda con uno sweet spot largo e un bilanciamento al centro. È un prodotto altamente raccomandato per Padeluppers con una buona esperienza e manegevolezza nei colpi, che ricercano una pala di controllo e spinta. Questa racchetta, interamente in carbonio e carbonio 3K per le facce: un materiale molto resistente e durevole. All'interno, ha la gomma EVA-X, materiale conferisce grande esplosività e allo stesso tempo incorpora la gomma X- EVA, materiale che offre grande esplosività nei colpi potenti e comfort nei colpi meno potenti. Inoltre la Babolat Air Viper 2021 incorpora le tecnologie più all'avanguardia sul mercato, come il sistema Vibrasorb e la tecnologia 3D Spin e il sistema di pattern fori. E infine, per quanto riguarda il suo design, la pala ha un'estetica innovativa, con il blu navy come protagonista e i dettagli nei colori bianco, giallo e verde. "
babolat-technical-viper-2021,/wiki/racchette/babolat/,/wiki/racchette/babolat/technical-viper-2021/,/images/wiki/racchette/,babolat-technical-viper-2021.jpg,Babolat Technical Viper 2021,Babolat,Technical Viper 2021,babolat,technical viper 2021,2021,280,diamante,alto,355-365,avanzato,carbonio 12k,EVA-X,ruvida,,"La marca continua a sorprendere con una nuova collezione, con alcuni miglioramenti che permetteranno di aumentare le prestazioni. La nuova racchetta Babolat Technical Viper 2021 fornisce potenza esplosiva e allo stesso tempo precisione nei colpi di attacco. Ha una forma a diamante, un bilanciamento alto e un peso leggero, una pala che offre una grande potenza in qualsiasi punto della pista. È consigliata per giocatori di attacco e allo stesso tempo tecnici. Questa racchetta da padel, è composta da un telaio in carbonio 12K, rendendola più dura, più resistente e con maggiore potenza nei colpi. D'altra parte, all'interno, incorpora la gomma X- EVA, materiale che offrirà grande esplosività nei colpi potenti, grazie a due strati esterni più rigidi mentre quello interno rimane più morbido per fornisce più tolleranza e comfort nei colpi più lenti. Inoltre, questo Babolat Technical Viper 2021 incorporare le tecnologie più all'avanguardia sul mercato, come il sistema Vibrasorb, che riduce significativamente le forti vibrazioni causate da urti, evitando lesioni fisiche e maggiore comfort."
black-crown-power-genius,/wiki/racchette/black-crown/,/wiki/racchette/black-crown/power-genius/,/images/wiki/racchette/,black-crown-power-genius.jpg,Black Crown Power Genius,Black Crown,Power Genius,black crown,power genius,2021,260,goccia,alto,355-370,avanzato,carbonio 12k,EVA black,ruvida,,
black-crown-genius,/wiki/racchette/black-crown/,/wiki/racchette/black-crown/genius/,/images/wiki/racchette/,black-crown-genius.jpg,Black Crown Genius,Black Crown,Genius,black crown,genius,2021,260,goccia,medio,355-370,avanzato,carbonio 3k,EVA soft,ruvida,,
black-crown-piton-9.0-soft,/wiki/racchette/black-crown/,/wiki/racchette/black-crown/piton-9.0-soft/,/images/wiki/racchette/,black-crown-piton-9.0-soft.jpg,Black Crown Piton 9.0 Soft,Black Crown,Piton 9.0 Soft,black crown,piton 9.0 soft,2021,240,rotonda,medio,355-370,avanzato,carbonio 3k,EVA soft,liscia,,
black-crown-piton-limited,/wiki/racchette/black-crown/,/wiki/racchette/black-crown/piton-limited/,/images/wiki/racchette/,black-crown-piton-limited.jpg,Black Crown Piton Limited,Black Crown,Piton Limited,black crown,piton limited,2021,260,rotonda,medio,355-370,avanzato,carbonio 3k,EVA white,ruvida,,
bullpadel-vertex-03-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/vertex-03-21/,/images/wiki/racchette/,bullpadel-vertex-03-21.jpg,Bullpadel Vertex 03 21,Bullpadel,Vertex 03 21,bullpadel,vertex 03 21,2021,320,diamante,alto,,avanzato,carbonio 12k,EVA media,ruvida,,
bullpadel-vertex-03-ctr-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/vertex-03-ctr-21/,/images/wiki/racchette/,bullpadel-vertex-03-ctr-21.jpg,Bullpadel Vertex 03 Ctr 21,Bullpadel,Vertex 03 Ctr 21,bullpadel,vertex 03 ctr 21,2021,275,rotonda,basso,,avanzato,carbonio 12k,Multi EVA,ruvida,,
bullpadel-hack-02-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/hack-02-21/,/images/wiki/racchette/,bullpadel-hack-02-21.jpg,Bullpadel Hack 02 21,Bullpadel,Hack 02 21,bullpadel,hack 02 21,2021,280,ibrida,medio/alto,365-380,avanzato,carbonio 18k,Multi EVA,liscia,,
bullpadel-hack-ctr-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/hack-ctr-21/,/images/wiki/racchette/,bullpadel-hack-ctr-21.jpg,Bullpadel Hack Ctr 21,Bullpadel,Hack Ctr 21,bullpadel,hack ctr 21,2021,330,ibrida,basso,365-380,avanzato,carbonio 18k,EVA soft,liscia,,
bullpadel-flow,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/flow/,/images/wiki/racchette/,bullpadel-flow.jpg,Bullpadel Flow,Bullpadel,Flow,bullpadel,flow,2021,235,lacrima,medio,,avanzato donna,carbonio,EVA soft,liscia,,
bullpadel-vertex-3-woman-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/vertex-3-woman-21/,/images/wiki/racchette/,bullpadel-vertex-3-woman-21.jpg,Bullpadel Vertex 3 Woman 21,Bullpadel,Vertex 3 Woman 21,bullpadel,vertex 3 woman 21,2021,195,diamante,medio/alto,,avanzato donna,fibra di vetro,EVA,liscia,,
bullpadel-hack-comfort-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/hack-comfort-21/,/images/wiki/racchette/,bullpadel-hack-comfort-21.jpg,Bullpadel Hack Comfort 21,Bullpadel,Hack Comfort 21,bullpadel,hack comfort 21,2021,190,diamante,alto,,avanzato,carbonio e fibra di vetro,EVA,liscia,,
bullpadel-wing-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/wing-21/,/images/wiki/racchette/,bullpadel-wing-21.jpg,Bullpadel Wing 21,Bullpadel,Wing 21,bullpadel,wing 21,2021,140,goccia,medio,,intermedio,carbonio,EVA,liscia,,
bullpadel-vertex-03-comfort-21,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/vertex-03-comfort-21/,/images/wiki/racchette/,bullpadel-vertex-03-comfort-21.jpg,Bullpadel Vertex 03 Comfort 21,Bullpadel,Vertex 03 Comfort 21,bullpadel,vertex 03 comfort 21,2021,190,diamante,alto,,avanzato,carbonio e fibra di vetro,EVA,liscia,,
bullpadel-k3,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/k3/,/images/wiki/racchette/,bullpadel-k3.jpg,Bullpadel K3,Bullpadel,K3,bullpadel,k3,2021,,rotonda,medio,,intermedio,carbonio,EVA,liscia,,
bullpadel-k3-woman,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/k3-woman/,/images/wiki/racchette/,bullpadel-k3-woman.jpg,Bullpadel K3 Woman,Bullpadel,K3 Woman,bullpadel,k3 woman,2021,,rotonda,medio,,intermedio,carbonio,EVA,liscia,,
bullpadel-k2-power,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/k2-power/,/images/wiki/racchette/,bullpadel-k2-power.jpg,Bullpadel K2 Power,Bullpadel,K2 Power,bullpadel,k2 power,2021,,diamante,alto,,intermedio,carbonio e fibra di vetro,EVA,liscia,,
bullpadel-flow-light,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/flow-light/,/images/wiki/racchette/,bullpadel-flow-light.jpg,Bullpadel Flow Light,Bullpadel,Flow Light,bullpadel,flow light,2021,,goccia,medio,,intermedio,carbonio,EVA soft,liscia,,
bullpadel-bp10-evo,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/bp10-evo/,/images/wiki/racchette/,bullpadel-bp10-evo.jpg,Bullpadel Bp10 Evo,Bullpadel,Bp10 Evo,bullpadel,BP10 evo,2021,,goccia,medio,,intermedio,carbonio e fibra di vetro,EVA soft,liscia,,
bullpadel-libra,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/libra/,/images/wiki/racchette/,bullpadel-libra.jpg,Bullpadel Libra,Bullpadel,Libra,bullpadel,libra,2021,,rotonda,basso,,principiante donna,carbonio e fibra di vetro,EVA-lastic,liscia,,
bullpadel-shake,/wiki/racchette/bullpadel/,/wiki/racchette/bullpadel/shake/,/images/wiki/racchette/,bullpadel-shake.jpg,Bullpadel Shake,Bullpadel,Shake,bullpadel,shake,2021,,rotonda,basso,,principiante,carbonio e fibra di vetro,EVA-lastic,liscia,,
dropshot-conqueror-9.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/conqueror-9.0/,/images/wiki/racchette/,dropshot-conqueror-9.0.jpg,Dropshot Conqueror 9.0,Dropshot,Conqueror 9.0,dropshot,conqueror 9.0,2021,340,goccia,,,avanzato,carbonio 24k,EVA tech,ruvida,,"racchetta disegnata con la stretta collaborazione del campione Juan Martin Diaz è interamente costruita in carbonio 24K per un impatto rapido e ottimale. La forma a diamante è riempita da gomma EVA Tech con elasticità adattabile al tipo di gioco individuale. Incorpora le tecnologie Twin Tubolar System, protettore di nylon in testa e un sistema di antivibrazioni incorporato e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-conqueror-9.0-soft,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/conqueror-9.0-soft/,/images/wiki/racchette/,dropshot-conqueror-9.0-soft.jpg,Dropshot Conqueror 9.0 Soft,Dropshot,Conqueror 9.0 Soft,dropshot,conqueror 9.0 soft,2021,260,goccia,,,avanzato,carbonio 24k,EVA soft,ruvida,,"Molto simile al modello Conqueror 9.0 da cui prende il nome, con la differenza della tipologia di gomma utilizzata, qui troviamo una EVA soft. Anche questo modello incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-legend-2.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/legend-2.0/,/images/wiki/racchette/,dropshot-legend-2.0.jpg,Dropshot Legend 2.0,Dropshot,Legend 2.0,dropshot,legend 2.0,2021,240,rotonda oversize,,,esperto,carbonio 24k,EVA pro,ruvida,,"racchetta dalla forma rotonda oversize costruita interamente in carbonio 24k è riempita di gomma Eva Pro per garantire un’uscita rapida del colpo. Come gli altri modelli della collezione incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-heritage-2.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/heritage-2.0/,/images/wiki/racchette/,dropshot-heritage-2.0.jpg,Dropshot Heritage 2.0,Dropshot,Heritage 2.0,dropshot,heritage 2.0,2021,240,goccia,,,esperto,carbonio 24k,EVA pro,ruvida,,"racchetta dalla forma rotonda oversize costruita interamente in carbonio 24k è riempita di gomma Eva Pro per garantire un’uscita rapida del colpo. Come gli altri modelli della collezione incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-premium-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/premium-1.0/,/images/wiki/racchette/,dropshot-premium-1.0.jpg,Dropshot Premium 1.0,Dropshot,Premium 1.0,dropshot,premium 1.0,2021,240,rotonda oversize,,,esperto,carbonio 24k,EVA pro,ruvida,,"forma tonda oversize per questo modello di alta gamma, interamente in carbonio 24k è una racchetta per giocatori che ricercano il controllo del colpo, ha un composizione interna in gomma EVA Pro. Anche questo modello, come gli altri della nuova collezione, incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-x-celerator,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/x-celerator/,/images/wiki/racchette/,dropshot-x-celerator.jpg,Dropshot X-Celerator,Dropshot,X-Celerator,dropshot,x-celerator,2021,240,goccia,,,esperto,carbonio 24k,EVA tech,ruvida,,"Racchetta di spinta per la sua forma a goccia composta di carbonio 24k, internamente troviamo un gomma Eva Tech, più rigida della Pro senza perdere troppo controllo, incorpora le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni come i modelli precedenti e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-osaka-1.0,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/osaka-1.0/,/images/wiki/racchette/,dropshot-osaka-1.0.jpg,Dropshot Osaka 1.0,Dropshot,Osaka 1.0,dropshot,osaka 1.0,2021,230,rotoda,,,esperto,carbonio 24k,EVA pro,ruvida,,"peculiare di questa racchetta è il cuore, ideato per assorbire il maggior numero di vibrazioni possibili. Ha una forma tonda che ne conferisce controllo e una superficie ruvida ideale per i colpi carichi di effetto è costruita con carbonio e fibra di cristalli in poliestere. In essa sono presenti le tecnologie Twin Tubolar System, un protettore di nylon in testa e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
dropshot-essence,/wiki/racchette/dropshot/,/wiki/racchette/dropshot/essence/,/images/wiki/racchette/,dropshot-essence.jpg,Dropshot Essence,Dropshot,Essence,dropshot,essence,2021,230,goccia,,,esperto,carbonio 24k,EVA pro,ruvida,,"Racchetta dall’elegante design e colorazione ha un piatto ruvido, la forma a goccia e, oltre al consueto carbonio 24k, una nuova fibra di cristalli in poliestere rendono la racchetta molto resistente a colpi potenti ed usi prolungati. incorpora le tecnologie Twin Tubolar System e un sistema di antivibrazioni e un sistema avanzato di disposizione dei buchi sulla faccia della racchetta."
